,key,stock,sold_out_date,sol_out_pred,date_sold_out_date,date_sold_out_pred,days_differ,correct_differ
516,10849 L,21.0,2018-01-16,2018-01-22,2018-01-16,2018-01-22,-6 days +00:00:00.000000000,6
517,10849 M,46.0,2018-01-22,2018-01-22,2018-01-22,2018-01-22,0 days 00:00:00.000000000,0
518,10849 S,1.0,2018-01-01,2018-01-10,2018-01-01,2018-01-10,-9 days +00:00:00.000000000,9
519,10849 XL,3.0,2018-01-12,2018-01-23,2018-01-12,2018-01-23,-11 days +00:00:00.000000000,11
520,10857 M,3.0,2018-01-17,2018-01-23,2018-01-17,2018-01-23,-6 days +00:00:00.000000000,6
521,10859 42,1.0,2018-01-16,2018-01-10,2018-01-16,2018-01-10,6 days 00:00:00.000000000,6
522,10859 43,1.0,2018-01-16,2018-01-10,2018-01-16,2018-01-10,6 days 00:00:00.000000000,6
523,10863 L,1.0,2018-01-23,2018-01-10,2018-01-23,2018-01-10,13 days 00:00:00.000000000,13
524,10866 140,1.0,2018-01-17,2018-01-10,2018-01-17,2018-01-10,7 days 00:00:00.000000000,7
525,10866 152,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
526,10875 38,1.0,2018-01-06,2018-01-10,2018-01-06,2018-01-10,-4 days +00:00:00.000000000,4
527,10878 2XL,1.0,2018-01-01,2018-01-10,2018-01-01,2018-01-10,-9 days +00:00:00.000000000,9
528,10878 L,24.0,2018-01-04,2018-01-22,2018-01-04,2018-01-22,-18 days +00:00:00.000000000,18
529,10878 M,27.0,2018-01-20,2018-01-22,2018-01-20,2018-01-22,-2 days +00:00:00.000000000,2
530,10878 S,13.0,2018-01-22,2018-01-22,2018-01-22,2018-01-22,0 days 00:00:00.000000000,0
531,10878 XL,8.0,2018-01-13,2018-01-22,2018-01-13,2018-01-22,-9 days +00:00:00.000000000,9
532,10881 L,1.0,2018-01-05,2018-01-10,2018-01-05,2018-01-10,-5 days +00:00:00.000000000,5
533,10881 S,2.0,2018-01-24,2018-01-17,2018-01-24,2018-01-17,7 days 00:00:00.000000000,7
534,10881 XL,1.0,2018-01-23,2018-01-10,2018-01-23,2018-01-10,13 days 00:00:00.000000000,13
535,10885 40,1.0,2018-01-09,2018-01-10,2018-01-09,2018-01-10,-1 days +00:00:00.000000000,1
536,10885 40 2/3,2.0,2018-01-02,2018-01-17,2018-01-02,2018-01-17,-15 days +00:00:00.000000000,15
537,10885 41 1/3,1.0,2018-01-03,2018-01-10,2018-01-03,2018-01-10,-7 days +00:00:00.000000000,7
538,10885 42,3.0,2018-01-17,2018-01-23,2018-01-17,2018-01-23,-6 days +00:00:00.000000000,6
539,10885 42 2/3,1.0,2018-01-17,2018-01-10,2018-01-17,2018-01-10,7 days 00:00:00.000000000,7
540,10885 43 1/3,8.0,2018-01-27,2018-01-22,2018-01-27,2018-01-22,5 days 00:00:00.000000000,5
541,10885 44,1.0,2018-01-13,2018-01-10,2018-01-13,2018-01-10,3 days 00:00:00.000000000,3
542,10885 44 2/3,3.0,2018-01-30,2018-01-23,2018-01-30,2018-01-23,7 days 00:00:00.000000000,7
543,10885 45 1/3,2.0,2018-01-09,2018-01-17,2018-01-09,2018-01-17,-8 days +00:00:00.000000000,8
544,10885 46,1.0,2018-01-03,2018-01-10,2018-01-03,2018-01-10,-7 days +00:00:00.000000000,7
545,10885 46 2/3,2.0,2018-01-17,2018-01-17,2018-01-17,2018-01-17,0 days 00:00:00.000000000,0
546,10886 2XL,1.0,2018-01-03,2018-01-10,2018-01-03,2018-01-10,-7 days +00:00:00.000000000,7
547,10886 L,36.0,2018-01-26,2018-01-22,2018-01-26,2018-01-22,4 days 00:00:00.000000000,4
548,10886 M,25.0,2018-01-28,2018-01-22,2018-01-28,2018-01-22,6 days 00:00:00.000000000,6
549,10886 S,11.0,2018-01-27,2018-01-22,2018-01-27,2018-01-22,5 days 00:00:00.000000000,5
550,10886 XL,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
551,10895 M,1.0,2018-01-18,2018-01-10,2018-01-18,2018-01-10,8 days 00:00:00.000000000,8
552,10897 M,1.0,2018-01-23,2018-01-10,2018-01-23,2018-01-10,13 days 00:00:00.000000000,13
553,10900 9,1.0,2018-01-29,2018-01-10,2018-01-29,2018-01-10,19 days 00:00:00.000000000,19
554,10904 41,1.0,2018-01-18,2018-01-10,2018-01-18,2018-01-10,8 days 00:00:00.000000000,8
555,10904 43,1.0,2018-01-28,2018-01-10,2018-01-28,2018-01-10,18 days 00:00:00.000000000,18
556,10904 44,1.0,2018-01-03,2018-01-10,2018-01-03,2018-01-10,-7 days +00:00:00.000000000,7
557,10904 45,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
558,10909 45,1.0,2018-01-04,2018-01-10,2018-01-04,2018-01-10,-6 days +00:00:00.000000000,6
559,10912 2XL,1.0,2018-01-01,2018-01-10,2018-01-01,2018-01-10,-9 days +00:00:00.000000000,9
560,10912 L,20.0,2018-01-07,2018-01-22,2018-01-07,2018-01-22,-15 days +00:00:00.000000000,15
561,10912 M,20.0,2018-01-05,2018-01-22,2018-01-05,2018-01-22,-17 days +00:00:00.000000000,17
562,10912 S,5.0,2018-01-03,2018-01-22,2018-01-03,2018-01-22,-19 days +00:00:00.000000000,19
563,10912 XL,8.0,2018-01-04,2018-01-22,2018-01-04,2018-01-22,-18 days +00:00:00.000000000,18
564,10913 XL,1.0,2018-01-30,2018-01-10,2018-01-30,2018-01-10,20 days 00:00:00.000000000,20
565,10917 L,1.0,2018-01-21,2018-01-10,2018-01-21,2018-01-10,11 days 00:00:00.000000000,11
566,10917 M,2.0,2018-01-31,2018-01-17,2018-01-31,2018-01-17,14 days 00:00:00.000000000,14
567,10917 S,1.0,2018-01-21,2018-01-10,2018-01-21,2018-01-10,11 days 00:00:00.000000000,11
568,10924 M ( 140-152 ),1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
569,10924 S ( 128-140 ),4.0,2018-01-15,2018-01-28,2018-01-15,2018-01-28,-13 days +00:00:00.000000000,13
570,10925 L,3.0,2018-01-06,2018-01-23,2018-01-06,2018-01-23,-17 days +00:00:00.000000000,17
571,10925 M,2.0,2018-01-11,2018-01-17,2018-01-11,2018-01-17,-6 days +00:00:00.000000000,6
572,10925 S,2.0,2018-01-08,2018-01-17,2018-01-08,2018-01-17,-9 days +00:00:00.000000000,9
573,10925 XL,2.0,2018-01-05,2018-01-17,2018-01-05,2018-01-17,-12 days +00:00:00.000000000,12
574,10927 140,1.0,2018-01-14,2018-01-10,2018-01-14,2018-01-10,4 days 00:00:00.000000000,4
575,10929 L,1.0,2018-01-28,2018-01-10,2018-01-28,2018-01-10,18 days 00:00:00.000000000,18
576,10931 L ( 152-158 ),1.0,2018-01-30,2018-01-10,2018-01-30,2018-01-10,20 days 00:00:00.000000000,20
577,10932 43 1/3,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
578,10936 2XL,2.0,2018-01-18,2018-01-17,2018-01-18,2018-01-17,1 days 00:00:00.000000000,1
579,10936 M,2.0,2018-01-18,2018-01-17,2018-01-18,2018-01-17,1 days 00:00:00.000000000,1
580,10936 XL,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
581,10948 41,2.0,2018-01-31,2018-01-17,2018-01-31,2018-01-17,14 days 00:00:00.000000000,14
582,10948 42,4.0,2018-01-31,2018-01-28,2018-01-31,2018-01-28,3 days 00:00:00.000000000,3
583,10948 43,3.0,2018-01-20,2018-01-23,2018-01-20,2018-01-23,-3 days +00:00:00.000000000,3
584,10948 44,1.0,2018-01-03,2018-01-10,2018-01-03,2018-01-10,-7 days +00:00:00.000000000,7
585,10948 45,3.0,2018-01-31,2018-01-23,2018-01-31,2018-01-23,8 days 00:00:00.000000000,8
586,10950 L,2.0,2018-01-17,2018-01-17,2018-01-17,2018-01-17,0 days 00:00:00.000000000,0
587,10950 M,1.0,2018-01-17,2018-01-10,2018-01-17,2018-01-10,7 days 00:00:00.000000000,7
588,10953 2XL,1.0,2018-01-10,2018-01-10,2018-01-10,2018-01-10,0 days 00:00:00.000000000,0
589,10953 L,5.0,2018-01-16,2018-01-22,2018-01-16,2018-01-22,-6 days +00:00:00.000000000,6
590,10953 XL,2.0,2018-01-10,2018-01-17,2018-01-10,2018-01-17,-7 days +00:00:00.000000000,7
591,10961 L,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
592,10962 45,1.0,2018-01-18,2018-01-10,2018-01-18,2018-01-10,8 days 00:00:00.000000000,8
593,10971 XL ( 158-170 ),1.0,2018-01-12,2018-01-10,2018-01-12,2018-01-10,2 days 00:00:00.000000000,2
594,10977 M,1.0,2018-01-30,2018-01-10,2018-01-30,2018-01-10,20 days 00:00:00.000000000,20
595,10979 35 - 38,1.0,2018-01-24,2018-01-10,2018-01-24,2018-01-10,14 days 00:00:00.000000000,14
596,10979 39 - 42,3.0,2018-01-11,2018-01-23,2018-01-11,2018-01-23,-12 days +00:00:00.000000000,12
597,10979 43 - 46,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
598,10981 2XL,4.0,2018-01-30,2018-01-28,2018-01-30,2018-01-28,2 days 00:00:00.000000000,2
599,10981 L,36.0,2018-01-31,2018-01-22,2018-01-31,2018-01-22,9 days 00:00:00.000000000,9
600,10981 M,17.0,2018-01-27,2018-01-22,2018-01-27,2018-01-22,5 days 00:00:00.000000000,5
601,10981 S,4.0,2018-01-24,2018-01-28,2018-01-24,2018-01-28,-4 days +00:00:00.000000000,4
602,10981 XL,15.0,2018-01-31,2018-01-22,2018-01-31,2018-01-22,9 days 00:00:00.000000000,9
603,10990 2XL,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
604,10990 L,1.0,2018-01-23,2018-01-10,2018-01-23,2018-01-10,13 days 00:00:00.000000000,13
605,10990 M,1.0,2018-01-23,2018-01-10,2018-01-23,2018-01-10,13 days 00:00:00.000000000,13
606,10991 45,1.0,2018-01-22,2018-01-10,2018-01-22,2018-01-10,12 days 00:00:00.000000000,12
607,10994 41,1.0,2018-01-03,2018-01-10,2018-01-03,2018-01-10,-7 days +00:00:00.000000000,7
608,10994 42,1.0,2018-01-03,2018-01-10,2018-01-03,2018-01-10,-7 days +00:00:00.000000000,7
609,10994 43,1.0,2018-01-14,2018-01-10,2018-01-14,2018-01-10,4 days 00:00:00.000000000,4
610,10994 44,2.0,2018-01-16,2018-01-17,2018-01-16,2018-01-17,-1 days +00:00:00.000000000,1
611,10994 46,1.0,2018-01-09,2018-01-10,2018-01-09,2018-01-10,-1 days +00:00:00.000000000,1
612,10994 47,1.0,2018-01-29,2018-01-10,2018-01-29,2018-01-10,19 days 00:00:00.000000000,19
613,10997 43,1.0,2018-01-21,2018-01-10,2018-01-21,2018-01-10,11 days 00:00:00.000000000,11
614,10997 45,1.0,2018-01-20,2018-01-10,2018-01-20,2018-01-10,10 days 00:00:00.000000000,10
615,11003 45,1.0,2018-01-13,2018-01-10,2018-01-13,2018-01-10,3 days 00:00:00.000000000,3
616,11009 L,3.0,2018-01-22,2018-01-23,2018-01-22,2018-01-23,-1 days +00:00:00.000000000,1
617,11009 M,4.0,2018-01-20,2018-01-28,2018-01-20,2018-01-28,-8 days +00:00:00.000000000,8
618,11009 S,2.0,2018-01-11,2018-01-17,2018-01-11,2018-01-17,-6 days +00:00:00.000000000,6
619,11009 XL,1.0,2018-01-07,2018-01-10,2018-01-07,2018-01-10,-3 days +00:00:00.000000000,3
620,11010 M,1.0,2018-01-18,2018-01-10,2018-01-18,2018-01-10,8 days 00:00:00.000000000,8
621,11025 2XL,1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
622,11025 L,1.0,2018-01-05,2018-01-10,2018-01-05,2018-01-10,-5 days +00:00:00.000000000,5
623,11025 S,4.0,2018-01-20,2018-01-28,2018-01-20,2018-01-28,-8 days +00:00:00.000000000,8
624,11025 XL,4.0,2018-01-14,2018-01-28,2018-01-14,2018-01-28,-14 days +00:00:00.000000000,14
625,11026 43 1/3,1.0,2018-01-04,2018-01-10,2018-01-04,2018-01-10,-6 days +00:00:00.000000000,6
626,11026 44 2/3,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
627,11026 45 1/3,1.0,2018-01-23,2018-01-10,2018-01-23,2018-01-10,13 days 00:00:00.000000000,13
628,11033 44,1.0,2018-01-23,2018-01-10,2018-01-23,2018-01-10,13 days 00:00:00.000000000,13
629,11034 2 ( 35-38 ),3.0,2018-01-09,2018-01-23,2018-01-09,2018-01-23,-14 days +00:00:00.000000000,14
630,11034 3 ( 39-42 ),8.0,2018-01-17,2018-01-22,2018-01-17,2018-01-22,-5 days +00:00:00.000000000,5
631,11034 4 ( 43-46 ),35.0,2018-01-31,2018-01-22,2018-01-31,2018-01-22,9 days 00:00:00.000000000,9
632,11034 5 ( 47-49 ),4.0,2018-01-17,2018-01-28,2018-01-17,2018-01-28,-11 days +00:00:00.000000000,11
633,11035 L,3.0,2018-01-04,2018-01-23,2018-01-04,2018-01-23,-19 days +00:00:00.000000000,19
634,11035 M,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
635,11035 S,1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
636,11035 XL,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
637,11037 L,3.0,2018-01-07,2018-01-23,2018-01-07,2018-01-23,-16 days +00:00:00.000000000,16
638,11037 M,2.0,2018-01-28,2018-01-17,2018-01-28,2018-01-17,11 days 00:00:00.000000000,11
639,11037 S,1.0,2018-01-10,2018-01-10,2018-01-10,2018-01-10,0 days 00:00:00.000000000,0
640,11037 XL,2.0,2018-01-22,2018-01-17,2018-01-22,2018-01-17,5 days 00:00:00.000000000,5
641,11041 152,1.0,2018-01-01,2018-01-10,2018-01-01,2018-01-10,-9 days +00:00:00.000000000,9
642,11042 L,1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
643,11048 M,1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
644,11049 M ( 38/40 ),1.0,2018-01-29,2018-01-10,2018-01-29,2018-01-10,19 days 00:00:00.000000000,19
645,11054 L,6.0,2018-01-15,2018-01-22,2018-01-15,2018-01-22,-7 days +00:00:00.000000000,7
646,11054 M,7.0,2018-01-15,2018-01-22,2018-01-15,2018-01-22,-7 days +00:00:00.000000000,7
647,11054 XL,2.0,2018-01-15,2018-01-17,2018-01-15,2018-01-17,-2 days +00:00:00.000000000,2
648,11059 41,3.0,2018-01-20,2018-01-23,2018-01-20,2018-01-23,-3 days +00:00:00.000000000,3
649,11059 42,3.0,2018-01-04,2018-01-23,2018-01-04,2018-01-23,-19 days +00:00:00.000000000,19
650,11059 43,1.0,2018-01-09,2018-01-10,2018-01-09,2018-01-10,-1 days +00:00:00.000000000,1
651,11059 45,2.0,2018-01-04,2018-01-17,2018-01-04,2018-01-17,-13 days +00:00:00.000000000,13
652,11064 42,2.0,2018-01-30,2018-01-17,2018-01-30,2018-01-17,13 days 00:00:00.000000000,13
653,11064 46,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
654,11067 152,4.0,2018-01-30,2018-01-28,2018-01-30,2018-01-28,2 days 00:00:00.000000000,2
655,11067 164,1.0,2018-01-06,2018-01-10,2018-01-06,2018-01-10,-4 days +00:00:00.000000000,4
656,11071 140,1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
657,11071 152,1.0,2018-01-16,2018-01-10,2018-01-16,2018-01-10,6 days 00:00:00.000000000,6
658,11071 164,3.0,2018-01-29,2018-01-23,2018-01-29,2018-01-23,6 days 00:00:00.000000000,6
659,11073 L,1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
660,11073 M,1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
661,11075 L,3.0,2018-01-03,2018-01-23,2018-01-03,2018-01-23,-20 days +00:00:00.000000000,20
662,11075 M,3.0,2018-01-07,2018-01-23,2018-01-07,2018-01-23,-16 days +00:00:00.000000000,16
663,11075 XL,2.0,2018-01-05,2018-01-17,2018-01-05,2018-01-17,-12 days +00:00:00.000000000,12
664,11077 XL,2.0,2018-01-26,2018-01-17,2018-01-26,2018-01-17,9 days 00:00:00.000000000,9
665,11078 42 2/3,1.0,2018-01-23,2018-01-10,2018-01-23,2018-01-10,13 days 00:00:00.000000000,13
666,11078 43 1/3,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
667,11078 44 2/3,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
668,11078 45 1/3,1.0,2018-01-01,2018-01-10,2018-01-01,2018-01-10,-9 days +00:00:00.000000000,9
669,11078 46,1.0,2018-01-28,2018-01-10,2018-01-28,2018-01-10,18 days 00:00:00.000000000,18
670,11078 48,1.0,2018-01-21,2018-01-10,2018-01-21,2018-01-10,11 days 00:00:00.000000000,11
671,11089 L,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
672,11091 42,1.0,2018-01-05,2018-01-10,2018-01-05,2018-01-10,-5 days +00:00:00.000000000,5
673,11093 39 1/3,1.0,2018-01-13,2018-01-10,2018-01-13,2018-01-10,3 days 00:00:00.000000000,3
674,11093 43 1/3,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
675,11093 44 2/3,1.0,2018-01-14,2018-01-10,2018-01-14,2018-01-10,4 days 00:00:00.000000000,4
676,11093 45 1/3,3.0,2018-01-14,2018-01-23,2018-01-14,2018-01-23,-9 days +00:00:00.000000000,9
677,11095 XL,4.0,2018-01-03,2018-01-28,2018-01-03,2018-01-28,-25 days +00:00:00.000000000,25
678,11100 164,1.0,2018-01-20,2018-01-10,2018-01-20,2018-01-10,10 days 00:00:00.000000000,10
679,11101 2XL,1.0,2018-01-12,2018-01-10,2018-01-12,2018-01-10,2 days 00:00:00.000000000,2
680,11101 L,1.0,2018-01-04,2018-01-10,2018-01-04,2018-01-10,-6 days +00:00:00.000000000,6
681,11101 M,22.0,2018-01-19,2018-01-22,2018-01-19,2018-01-22,-3 days +00:00:00.000000000,3
682,11101 S,2.0,2018-01-11,2018-01-17,2018-01-11,2018-01-17,-6 days +00:00:00.000000000,6
683,11101 XL,2.0,2018-01-08,2018-01-17,2018-01-08,2018-01-17,-9 days +00:00:00.000000000,9
684,11106 3 ( 40-42 ),1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
685,11106 4 ( 43-45 ),8.0,2018-01-02,2018-01-22,2018-01-02,2018-01-22,-20 days +00:00:00.000000000,20
686,11106 5 ( 46-48 ),1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
687,11133 L,2.0,2018-01-15,2018-01-17,2018-01-15,2018-01-17,-2 days +00:00:00.000000000,2
688,11133 M,1.0,2018-01-14,2018-01-10,2018-01-14,2018-01-10,4 days 00:00:00.000000000,4
689,11144 42 2/3,1.0,2018-01-04,2018-01-10,2018-01-04,2018-01-10,-6 days +00:00:00.000000000,6
690,11144 43 1/3,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
691,11144 44 2/3,1.0,2018-01-16,2018-01-10,2018-01-16,2018-01-10,6 days 00:00:00.000000000,6
692,11148 M,2.0,2018-01-10,2018-01-17,2018-01-10,2018-01-17,-7 days +00:00:00.000000000,7
693,11148 XL,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
694,11154 42 2/3,1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
695,11154 44 2/3,1.0,2018-01-04,2018-01-10,2018-01-04,2018-01-10,-6 days +00:00:00.000000000,6
696,11154 45 1/3,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
697,11166 36,1.0,2018-01-15,2018-01-10,2018-01-15,2018-01-10,5 days 00:00:00.000000000,5
698,11168 L,1.0,2018-01-13,2018-01-10,2018-01-13,2018-01-10,3 days 00:00:00.000000000,3
699,11168 M,1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
700,11168 XL,1.0,2018-01-07,2018-01-10,2018-01-07,2018-01-10,-3 days +00:00:00.000000000,3
701,11172 2XL,3.0,2018-01-24,2018-01-23,2018-01-24,2018-01-23,1 days 00:00:00.000000000,1
702,11172 L,38.0,2018-01-16,2018-01-22,2018-01-16,2018-01-22,-6 days +00:00:00.000000000,6
703,11172 M,29.0,2018-01-16,2018-01-22,2018-01-16,2018-01-22,-6 days +00:00:00.000000000,6
704,11172 S,23.0,2018-01-25,2018-01-22,2018-01-25,2018-01-22,3 days 00:00:00.000000000,3
705,11172 XL,17.0,2018-01-18,2018-01-22,2018-01-18,2018-01-22,-4 days +00:00:00.000000000,4
706,11173 L,8.0,2018-01-31,2018-01-22,2018-01-31,2018-01-22,9 days 00:00:00.000000000,9
707,11173 M,3.0,2018-01-17,2018-01-23,2018-01-17,2018-01-23,-6 days +00:00:00.000000000,6
708,11173 XL,2.0,2018-01-07,2018-01-17,2018-01-07,2018-01-17,-10 days +00:00:00.000000000,10
709,11175 40,1.0,2018-01-27,2018-01-10,2018-01-27,2018-01-10,17 days 00:00:00.000000000,17
710,11175 41 1/3,1.0,2018-01-17,2018-01-10,2018-01-17,2018-01-10,7 days 00:00:00.000000000,7
711,11175 43 1/3,1.0,2018-01-23,2018-01-10,2018-01-23,2018-01-10,13 days 00:00:00.000000000,13
712,11175 46,2.0,2018-01-28,2018-01-17,2018-01-28,2018-01-17,11 days 00:00:00.000000000,11
713,11175 47 1/3,2.0,2018-01-24,2018-01-17,2018-01-24,2018-01-17,7 days 00:00:00.000000000,7
714,11175 48,1.0,2018-01-23,2018-01-10,2018-01-23,2018-01-10,13 days 00:00:00.000000000,13
715,11176 41,1.0,2018-01-13,2018-01-10,2018-01-13,2018-01-10,3 days 00:00:00.000000000,3
716,11181 43,1.0,2018-01-08,2018-01-10,2018-01-08,2018-01-10,-2 days +00:00:00.000000000,2
717,11181 44,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
718,11181 45,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
719,11183 M,1.0,2018-01-25,2018-01-10,2018-01-25,2018-01-10,15 days 00:00:00.000000000,15
720,11183 XL,1.0,2018-01-17,2018-01-10,2018-01-17,2018-01-10,7 days 00:00:00.000000000,7
721,11187 2XL,1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
722,11187 L,7.0,2018-01-11,2018-01-22,2018-01-11,2018-01-22,-11 days +00:00:00.000000000,11
723,11187 M,1.0,2018-01-03,2018-01-10,2018-01-03,2018-01-10,-7 days +00:00:00.000000000,7
724,11187 S,1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
725,11187 XL,5.0,2018-01-11,2018-01-22,2018-01-11,2018-01-22,-11 days +00:00:00.000000000,11
726,11189 M ( 140-152 ),1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
727,11189 XL ( 158-170 ),1.0,2018-01-18,2018-01-10,2018-01-18,2018-01-10,8 days 00:00:00.000000000,8
728,11193 L,1.0,2018-01-08,2018-01-10,2018-01-08,2018-01-10,-2 days +00:00:00.000000000,2
729,11193 M,1.0,2018-01-16,2018-01-10,2018-01-16,2018-01-10,6 days 00:00:00.000000000,6
730,11196 M,1.0,2018-01-16,2018-01-10,2018-01-16,2018-01-10,6 days 00:00:00.000000000,6
731,11198 L,2.0,2018-01-13,2018-01-17,2018-01-13,2018-01-17,-4 days +00:00:00.000000000,4
732,11198 S,1.0,2018-01-02,2018-01-10,2018-01-02,2018-01-10,-8 days +00:00:00.000000000,8
733,11198 XL,2.0,2018-01-20,2018-01-17,2018-01-20,2018-01-17,3 days 00:00:00.000000000,3
734,11201 41 - 44,1.0,2018-01-20,2018-01-10,2018-01-20,2018-01-10,10 days 00:00:00.000000000,10
735,11205 2XL,1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
736,11205 L,9.0,2018-01-16,2018-01-22,2018-01-16,2018-01-22,-6 days +00:00:00.000000000,6
737,11205 M,4.0,2018-01-13,2018-01-28,2018-01-13,2018-01-28,-15 days +00:00:00.000000000,15
738,11205 S,5.0,2018-01-29,2018-01-22,2018-01-29,2018-01-22,7 days 00:00:00.000000000,7
739,11205 XL,1.0,2018-01-05,2018-01-10,2018-01-05,2018-01-10,-5 days +00:00:00.000000000,5
740,11207 2XL,1.0,2018-01-29,2018-01-10,2018-01-29,2018-01-10,19 days 00:00:00.000000000,19
741,11215 42 2/3,1.0,2018-01-28,2018-01-10,2018-01-28,2018-01-10,18 days 00:00:00.000000000,18
742,11215 43 1/3,1.0,2018-01-11,2018-01-10,2018-01-11,2018-01-10,1 days 00:00:00.000000000,1
743,11215 44,2.0,2018-01-31,2018-01-17,2018-01-31,2018-01-17,14 days 00:00:00.000000000,14
744,11215 44 2/3,2.0,2018-01-28,2018-01-17,2018-01-28,2018-01-17,11 days 00:00:00.000000000,11
745,11215 45 1/3,2.0,2018-01-16,2018-01-17,2018-01-16,2018-01-17,-1 days +00:00:00.000000000,1
746,11215 46,1.0,2018-01-16,2018-01-10,2018-01-16,2018-01-10,6 days 00:00:00.000000000,6
747,11221 L,4.0,2018-01-10,2018-01-28,2018-01-10,2018-01-28,-18 days +00:00:00.000000000,18
748,11221 M,12.0,2018-01-28,2018-01-22,2018-01-28,2018-01-22,6 days 00:00:00.000000000,6
749,11221 S,2.0,2018-01-19,2018-01-17,2018-01-19,2018-01-17,2 days 00:00:00.000000000,2
750,11221 XL,2.0,2018-01-03,2018-01-17,2018-01-03,2018-01-17,-14 days +00:00:00.000000000,14
751,11227 39,1.0,2018-01-10,2018-01-10,2018-01-10,2018-01-10,0 days 00:00:00.000000000,0
752,11227 40,1.0,2018-01-13,2018-01-10,2018-01-13,2018-01-10,3 days 00:00:00.000000000,3
753,11227 41,3.0,2018-01-31,2018-01-23,2018-01-31,2018-01-23,8 days 00:00:00.000000000,8
754,11227 42,2.0,2018-01-13,2018-01-17,2018-01-13,2018-01-17,-4 days +00:00:00.000000000,4
755,11227 43,3.0,2018-01-20,2018-01-23,2018-01-20,2018-01-23,-3 days +00:00:00.000000000,3
756,11227 44,1.0,2018-01-31,2018-01-10,2018-01-31,2018-01-10,21 days 00:00:00.000000000,21
757,11227 45,3.0,2018-01-31,2018-01-23,2018-01-31,2018-01-23,8 days 00:00:00.000000000,8
758,11227 46,1.0,2018-01-23,2018-01-10,2018-01-23,2018-01-10,13 days 00:00:00.000000000,13
759,11227 47,3.0,2018-01-31,2018-01-23,2018-01-31,2018-01-23,8 days 00:00:00.000000000,8
760,11229 140,1.0,2018-01-13,2018-01-10,2018-01-13,2018-01-10,3 days 00:00:00.000000000,3
